episode,step,env_step,total_time,episode_reward
1,0,0,0.29175853729248047,-1333.0292785663921
2,200,200,13.6165292263031,-1541.8246221488391
3,400,400,26.342882871627808,-1398.6464674538256
4,600,600,39.771464586257935,-1239.5614615998145
5,800,800,53.67178416252136,-1062.354352613651
6,1000,1000,68.65065789222717,-1281.1081727070127
7,1200,1200,96.84959983825684,-1184.306300229395
8,1400,1400,110.8594970703125,-364.65277588414546
9,1600,1600,126.45202016830444,-358.89931535318414
10,1800,1800,145.6348147392273,-863.5772438874773
11,2000,2000,170.23203802108765,-353.32899777522533
12,2200,2200,199.6838960647583,-362.85456076726314
13,2400,2400,216.55619597434998,-483.0546247292368
14,2600,2600,238.69883370399475,-488.27630540205047
15,2800,2800,260.88956451416016,-486.92455733363477
16,3000,3000,280.7047989368439,-487.54487465542763
17,3200,3200,309.95980072021484,-1020.5982936170108
18,3400,3400,327.087210893631,-152.07085378294403
19,3600,3600,359.60958099365234,-153.9673639850703
20,3800,3800,390.6966688632965,-153.84355946247246
21,4000,4000,420.6651394367218,-152.76290891944933
22,4200,4200,455.53431010246277,-155.76388271325055
23,4400,4400,479.66233348846436,-154.2408447960166
24,4600,4600,502.4853205680847,-154.71033999368532
25,4800,4800,532.5424561500549,-151.3788823948149
26,5000,5000,560.4240906238556,-158.17147842018954
27,5200,5200,591.6920204162598,-153.73494819042406
28,5400,5400,619.1906299591064,-154.49745264298625
29,5600,5600,653.8750076293945,-153.9992635377442
30,5800,5800,687.6885297298431,-155.94964786377244
31,6000,6000,706.9233050346375,-151.4739703054263
