episode,step,env_step,total_time,episode_reward
1,0,0,0.1181952953338623,-1332.2901395301417
2,200,200,10.11694073677063,-1648.3113154930522
3,400,400,20.101948976516724,-1201.3643468961886
4,600,600,30.06705069541931,-1353.0000343387253
5,800,800,40.16651892662048,-1308.5350979152565
6,1000,1000,50.815348625183105,-1207.2777365351776
7,1200,1200,78.12172436714172,-960.349611515636
8,1400,1400,88.35302972793579,-856.5588234324048
9,1600,1600,99.62109613418579,-746.2086593540739
10,1800,1800,110.89326357841492,-944.0379061352135
11,2000,2000,122.22069811820984,-503.5893636948986
12,2200,2200,148.0044937133789,-4.332676855695553
13,2400,2400,158.88210010528564,-616.5678989837859
14,2600,2600,170.3347270488739,-588.321932999003
15,2800,2800,181.9178328514099,-127.6682411337538
16,3000,3000,194.4955117702484,-374.5723654129736
17,3200,3200,220.7403542995453,-122.42219846158409
18,3400,3400,232.15640687942505,-3.527566773913874
19,3600,3600,243.93829083442688,-122.36905903267824
20,3800,3800,255.99289298057556,-5.28353354794506
21,4000,4000,268.70996856689453,-3.430567585735601
22,4200,4200,295.1791079044342,-362.9971800891939
23,4400,4400,307.14944648742676,-126.9362326509573
24,4600,4600,320.7345356941223,-508.3336526983769
25,4800,4800,335.1065912246704,-368.421806486881
26,5000,5000,348.734251499176,-124.6222019965725
27,5200,5200,375.8697853088379,-125.96732864351304
28,5400,5400,387.97693061828613,-499.29906232889755
29,5600,5600,400.82184052467346,-121.96849386050071
30,5800,5800,413.71162962913513,-472.9881733219962
31,6000,6000,426.65485191345215,-237.33519080052343
32,6200,6200,453.68286085128784,-126.88423746578238
33,6400,6400,465.6300745010376,-606.0826133414205
34,6600,6600,478.02721071243286,-123.92089909888873
35,6800,6800,490.6080639362335,-127.19678693743207
36,7000,7000,503.2062261104584,-369.11178829415013
37,7200,7200,531.1532900333405,-123.64888625046964
38,7400,7400,543.6816649436951,-245.01145291102898
39,7600,7600,557.4459338188171,-127.60311771371923
40,7800,7800,570.9973723888397,-239.5019139262849
41,8000,8000,584.6646416187286,-5.623025363281686
42,8200,8200,611.5510053634644,-6.139070282034687
43,8400,8400,625.7924425601959,-123.09248459451982
44,8600,8600,639.017573595047,-124.7739613297467
45,8800,8800,652.3981001377106,-356.4390858124378
46,9000,9000,666.1643867492676,-130.23735386788715
47,9200,9200,693.477920293808,-129.84387839822705
48,9400,9400,705.4051606655121,-131.3419449473929
49,9600,9600,717.9968166351318,-361.3935867628363
50,9800,9800,730.6411101818085,-128.3875125702845
51,10000,10000,743.2942831516266,-130.27397742296773
