episode,step,env_step,total_time,episode_reward
1,0,0,0.06644177436828613,-1573.319738017077
2,200,200,37.677886962890625,-1174.199870295175
3,400,400,75.83065724372864,-1112.724586282715
4,600,600,110.20531821250916,-1708.0020744616938
5,800,800,144.79949116706848,-1111.6600680447173
6,1000,1000,183.44339203834534,-1029.998517634994
7,1200,1200,225.00527238845825,-1140.288211177904
8,1400,1400,263.34994411468506,-126.18858821525774
9,1600,1600,303.9932737350464,-869.5405155629992
10,1800,1800,340.146155834198,-124.59757587139893
11,2000,2000,375.1379351615906,-125.36924181577214
12,2200,2200,413.6035704612732,-657.8109946048496
13,2400,2400,454.18907046318054,-352.6196399534652
14,2600,2600,492.6259095668793,-239.69472328384646
15,2800,2800,531.9095413684845,-489.46198379064117
16,3000,3000,570.8431363105774,-248.01281469742923
17,3200,3200,610.3728830814362,-3.323834482319186
18,3400,3400,649.3789284229279,-735.9516565450015
19,3600,3600,690.9137532711029,-354.39850736392606
20,3800,3800,729.4016582965851,-353.01189879271664
21,4000,4000,768.4844441413879,-127.63527580952008
22,4200,4200,811.445797920227,-121.98772052036648
23,4400,4400,847.0209271907806,-124.80148306103685
24,4600,4600,882.883118391037,-502.85775324174733
25,4800,4800,923.2644774913788,-231.9470035827922
26,5000,5000,961.6353759765625,-472.5904801511902
27,5200,5200,1005.272842168808,-123.2700422829151
28,5400,5400,1044.6668927669525,-125.55075937577936
29,5600,5600,1080.3484508991241,-493.9619492302337
30,5800,5800,1116.2175619602203,-126.15184934078886
31,6000,6000,1155.6619203090668,-128.71820880918338
32,6200,6200,1198.7134313583374,-494.1794981319974
33,6400,6400,1237.0679776668549,-357.64721511586566
34,6600,6600,1274.6624653339386,-352.8274782997483
35,6800,6800,1310.9399509429932,-124.186468526019
36,7000,7000,1346.7904675006866,-233.74255970213216
37,7200,7200,1388.8664736747742,-1729.67597520561
38,7400,7400,1428.6944875717163,-123.11672243229289
39,7600,7600,1467.425218820572,-1731.3603578192524
40,7800,7800,1504.4879612922668,-240.28727758996155
41,8000,8000,1541.904379606247,-232.8406762805781
42,8200,8200,1581.7753694057465,-499.8014626810627
43,8400,8400,1618.8445193767548,-250.1250214407526
44,8600,8600,1659.6745374202728,-375.56152698209183
45,8800,8800,1699.7832696437836,-124.6752556568566
46,9000,9000,1741.0669734477997,-240.5128164972156
47,9200,9200,1782.1814696788788,-235.3610930757203
48,9400,9400,1818.1202132701874,-506.28056415057415
49,9600,9600,1854.8572857379913,-369.1764374488316
50,9800,9800,1896.594010591507,-242.166751733262
51,10000,10000,1935.487102985382,-249.7162038406958
